,components,smiles,cas,"Temperature, K","Pressure, kPa","Mass density, kg/m3",Relative permittivity at zero frequency,"Mass density, kg/m3_std",Relative permittivity at zero frequency_std
3093,n-butyl acrylate,C(C=C)(=O)OCCCC,126492-54-4,328.2,101.325,863.951,4.614,,
3110,n-nonane,CCCCCCCCC,111-84-2,288.2,101.325,721.6304999999999,1.993,0.019000000000000003,0.01993
3114,n-nonane,CCCCCCCCC,111-84-2,298.2,101.325,713.9806296296296,1.98,0.03084615384615385,0.0198
3116,n-nonane,CCCCCCCCC,111-84-2,308.2,101.325,706.3634444444444,1.966,0.019000000000000003,0.01966
3118,n-nonane,CCCCCCCCC,111-84-2,318.2,101.325,698.0982222222223,1.953,0.01916666666666667,0.01953
3120,n-nonane,CCCCCCCCC,111-84-2,328.2,101.325,690.194375,1.94,0.01916666666666667,0.0194
3124,n-octane,CCCCCCCC,31372-91-5,288.2,101.325,706.588,1.975,0.020000016666666665,0.05925
3126,n-octane,CCCCCCCC,31372-91-5,293.2,101.325,702.9239,1.968,0.031666675,0.05904
3127,n-octane,CCCCCCCC,31372-91-5,298.2,101.325,698.7554821428573,1.961,0.46485237875,0.05883
3128,n-octane,CCCCCCCC,31372-91-5,303.2,101.325,694.5118181818182,1.954,0.067045709,0.05862
3129,n-octane,CCCCCCCC,31372-91-5,308.2,101.325,690.4316923076924,1.947,0.058045709000000015,0.05841
3417,propan-1-ol,C(CC)O,71-23-8,288.2,101.325,807.9351111111112,21.87,0.03826666666666667,0.03
3419,propan-1-ol,C(CC)O,71-23-8,293.2,101.325,803.6626122448982,21.15,0.11762212857142847,0.03
3421,propan-1-ol,C(CC)O,71-23-8,298.0,101.325,799.3333333333334,21.3,0.07995,1.1289
3422,propan-1-ol,C(CC)O,71-23-8,298.2,101.325,799.8603206106869,20.45,0.07801146470588226,0.03
3423,propan-1-ol,C(CC)O,71-23-8,300.2,101.325,798.5,20.678,,
3425,propan-1-ol,C(CC)O,71-23-8,303.2,101.325,796.0872352941174,19.78,0.14750496999999987,0.03
3426,propan-1-ol,C(CC)O,71-23-8,308.2,101.325,791.976625,19.13,0.0865429249999999,0.03
3476,"propenoic acid, ethyl ester",C(C=C)(=O)OCC,140-88-5,278.2,101.325,939.092,6.794,,
3477,"propenoic acid, ethyl ester",C(C=C)(=O)OCC,140-88-5,280.6,101.325,936.249,6.701,,
3478,"propenoic acid, ethyl ester",C(C=C)(=O)OCC,140-88-5,283.2,101.325,933.389,6.628,,
3479,"propenoic acid, ethyl ester",C(C=C)(=O)OCC,140-88-5,285.6,101.325,930.524,6.562,,
3480,"propenoic acid, ethyl ester",C(C=C)(=O)OCC,140-88-5,288.2,101.325,927.6125,6.489,,
3481,"propenoic acid, ethyl ester",C(C=C)(=O)OCC,140-88-5,290.6,101.325,924.78,6.422,,
3482,"propenoic acid, ethyl ester",C(C=C)(=O)OCC,140-88-5,293.2,101.325,921.8295,6.34,,
3483,"propenoic acid, ethyl ester",C(C=C)(=O)OCC,140-88-5,295.6,101.325,919.015,6.279,,
3484,"propenoic acid, ethyl ester",C(C=C)(=O)OCC,140-88-5,298.2,101.325,916.0903333333332,6.209,,
3485,"propenoic acid, ethyl ester",C(C=C)(=O)OCC,140-88-5,300.6,101.325,913.223,6.123,,
3486,"propenoic acid, ethyl ester",C(C=C)(=O)OCC,140-88-5,303.2,101.325,910.353,6.043,,
3487,"propenoic acid, ethyl ester",C(C=C)(=O)OCC,140-88-5,305.6,101.325,907.407,5.98,,
3488,"propenoic acid, ethyl ester",C(C=C)(=O)OCC,140-88-5,308.2,101.325,904.5723333333334,5.893,,
3489,"propenoic acid, ethyl ester",C(C=C)(=O)OCC,140-88-5,310.6,101.325,901.562,5.817,,
3490,"propenoic acid, ethyl ester",C(C=C)(=O)OCC,140-88-5,313.2,101.325,898.982,5.743,,
3491,"propenoic acid, ethyl ester",C(C=C)(=O)OCC,140-88-5,315.6,101.325,895.683,5.664,,
3492,"propenoic acid, ethyl ester",C(C=C)(=O)OCC,140-88-5,318.2,101.325,892.721,5.587,,
3493,"propenoic acid, ethyl ester",C(C=C)(=O)OCC,140-88-5,320.6,101.325,889.772,5.512,,
3494,"propenoic acid, ethyl ester",C(C=C)(=O)OCC,140-88-5,323.2,101.325,886.802,5.434,,
3495,"propenoic acid, ethyl ester",C(C=C)(=O)OCC,140-88-5,325.6,101.325,883.823,5.362,,
3496,"propenoic acid, ethyl ester",C(C=C)(=O)OCC,140-88-5,328.2,101.325,880.833,5.291,,
3578,sulfolane,[S]1(CCCC1)(=O)=O,126-33-0,293.2,101.325,1270.8,44.5,0.1,0.89
3579,sulfolane,[S]1(CCCC1)(=O)=O,126-33-0,298.2,101.325,1265.2666666666667,44.0,0.1,0.88
3580,sulfolane,[S]1(CCCC1)(=O)=O,126-33-0,303.2,101.325,1261.6399999999999,43.4,0.3012364,0.868
3581,sulfolane,[S]1(CCCC1)(=O)=O,126-33-0,308.2,101.325,1256.6999999999998,42.8,0.17552,0.856
3582,sulfolane,[S]1(CCCC1)(=O)=O,126-33-0,313.2,101.325,1252.4142857142858,42.2,0.36951500000000004,0.844
3583,sulfolane,[S]1(CCCC1)(=O)=O,126-33-0,318.2,101.325,1247.25,41.6,0.17458,0.832
3584,sulfolane,[S]1(CCCC1)(=O)=O,126-33-0,323.2,101.325,1243.8366666666666,41.1,0.3675145,0.822
3585,sulfolane,[S]1(CCCC1)(=O)=O,126-33-0,328.2,101.325,1238.6,40.4,0.17369,0.808
3663,triethanolamine,N(CCO)(CCO)CCO,126068-67-5,303.2,101.325,1118.463,28.11,0.4967396,0.2811
3664,triethanolamine,N(CCO)(CCO)CCO,126068-67-5,308.2,101.325,1115.3185,27.41,0.03335,0.2741
3665,triethanolamine,N(CCO)(CCO)CCO,126068-67-5,313.2,101.325,1112.7777142857142,26.73,0.4942888,0.2673
3666,triethanolamine,N(CCO)(CCO)CCO,126068-67-5,318.2,101.325,1109.6927500000002,26.07,0.03335,0.2607
3667,triethanolamine,N(CCO)(CCO)CCO,126068-67-5,323.2,101.325,1107.1021428571428,25.41,0.49181539999999996,0.2541
